group,configs,guidance_scale,controlnet_scale,n_images,winner,cfg1_win_rate,cfg1_points,cfg2_win_rate,cfg2_points,cfg3_win_rate,cfg3_points,cfg4_win_rate,cfg4_points,cfg5_win_rate,cfg5_points,cfg6_win_rate,cfg6_points
semantic_text,1-2,3.0,1.0,200,2,0.13666666666666666,82.0,0.8633333333333333,518.0,,,,,,,,
semantic_text,1-2,5.0,1.0,200,2,0.11,66.0,0.89,534.0,,,,,,,,
semantic_text,1-2,7.5,1.0,200,2,0.11,66.0,0.89,534.0,,,,,,,,
semantic_text,1-2,10.0,1.0,200,2,0.11166666666666666,67.0,0.8883333333333333,533.0,,,,,,,,
single_modality,2-3-4,3.0,1.0,200,3,,,0.3625,217.5,0.605,363.0,0.0325,19.5,,,,
single_modality,2-3-4,5.0,1.0,200,3,,,0.38333333333333336,230.0,0.5883333333333334,353.0,0.028333333333333332,17.0,,,,
single_modality,2-3-4,7.5,1.0,200,3,,,0.38666666666666666,232.0,0.5933333333333334,356.0,0.02,12.0,,,,
single_modality,2-3-4,10.0,1.0,200,3,,,0.385,231.0,0.5875,352.5,0.0275,16.5,,,,
multi_modal,2-5-6,3.0,1.0,200,5,,,0.1,60.0,,,,,0.735,441.0,0.165,99.0
multi_modal,2-5-6,5.0,1.0,200,5,,,0.09833333333333333,59.0,,,,,0.7666666666666667,460.0,0.135,81.0
multi_modal,2-5-6,7.5,1.0,200,5,,,0.10666666666666667,64.0,,,,,0.7483333333333333,449.0,0.145,87.0
multi_modal,2-5-6,10.0,1.0,200,5,,,0.10666666666666667,64.0,,,,,0.725,435.0,0.16833333333333333,101.0
